Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
J.P. Crawford,28,1,Maj-AL,"Mar 31, 2023",Seattle,,Cleveland,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,641487
C.J. Cron,33,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,4,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0.5,0.75,0.5,1.25,543068
Jake Cronenworth,29,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,630105
Nelson Cruz,42,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,443558
Yonathan Daza,29,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,602074
Bryan De La Cruz,26,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,650559
Elias D\xc3\xadaz,32,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,553869
Eduardo Escobar,34,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,500871
Nick Fortes,26,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,663743
Ty France,28,1,Maj-AL,"Mar 31, 2023",Seattle,,Cleveland,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,664034
