,player_id,name,status,position_type,eligible_positions,selected_position
4,10766,Bo Bichette,,B,"['SS', 'Util']",SS
5,11866,Andrew Vaughn,DTD,B,"['1B', 'LF', 'RF', 'Util']",LF
6,11127,Adolis García,,B,"['CF', 'RF', 'Util']",CF
7,9339,George Springer,,B,"['CF', 'RF', 'Util']",RF
8,10366,Teoscar Hernández,,B,"['RF', 'Util']",Util
9,10620,Rowdy Tellez,,B,"['1B', 'Util']",BN
10,10119,Mike Yastrzemski,,B,"['CF', 'RF', 'Util']",BN
11,11093,Patrick Wisdom,,B,"['1B', '3B', 'RF', 'Util']",BN
12,10730,Brandon Woodruff,,P,['SP'],SP
13,1000002,Shohei Ohtani (Pitcher),,P,['SP'],SP
14,9799,Chris Bassitt,,P,['SP'],SP
15,10862,Hunter Greene,,P,['SP'],SP
16,9872,José Berríos,,P,['SP'],SP
17,11253,Jordan Romano,,P,['RP'],RP
18,8622,Craig Kimbrel,,P,['RP'],RP
19,9779,Héctor Neris,,P,['RP'],RP
20,8965,Anthony Bass,,P,['RP'],RP
21,10105,Kenta Maeda,,P,['SP'],BN
22,9627,Marco Gonzales,,P,['SP'],BN
0,10642,Will Smith,,B,"['C', 'Util']",C
1,9583,C.J. Cron,,B,"['1B', 'Util']",1B
2,9517,Marcus Semien,,B,"['2B', 'SS', 'Util']",2B
3,10183,Alex Bregman,,B,"['3B', 'Util']",3B
4,9557,Javier Báez,,B,"['SS', 'Util']",SS
5,10505,Alex Verdugo,,B,"['LF', 'RF', 'Util']",LF
6,11760,Riley Greene,,B,"['CF', 'Util']",CF
7,12588,Seiya Suzuki,DTD,B,"['RF', 'Util']",RF
8,11573,Wander Franco,DTD,B,"['SS', 'Util']",Util
9,9883,Josh Bell,,B,"['1B', 'Util']",BN
10,11102,Joey Meneses,,B,"['1B', 'RF', 'Util']",BN
11,9750,Jorge Polanco,DTD,B,"['2B', 'Util']",BN
12,10572,Josh Naylor,,B,"['1B', 'RF', 'Util']",BN
13,11817,Bryson Stott,,B,"['2B', 'SS', 'Util']",BN
14,9620,Max Fried,,P,['SP'],SP
15,9173,Miles Mikolas,,P,['SP'],SP
16,10514,Luis Castillo,,P,['SP'],SP
17,10462,Triston McKenzie,DTD,P,['SP'],SP
18,10185,Joe Musgrove,DTD,P,['SP'],SP
19,11052,Evan Phillips,,P,['RP'],RP
20,11645,David Bednar,,P,['RP'],RP
21,8287,David Robertson,,P,['RP'],RP
22,12141,Hunter Brown,DTD,P,['RP'],RP
0,10929,Sean Murphy,,B,"['C', 'Util']",C
1,9540,José Abreu,,B,"['1B', 'Util']",1B
2,10839,Jazz Chisholm Jr.,DTD,B,"['2B', 'Util']",2B
3,8588,Justin Turner,,B,"['3B', 'Util']",3B
4,11822,CJ Abrams,,B,"['2B', 'SS', 'Util']",SS
5,10439,Eloy Jiménez,,B,"['LF', 'Util']",LF
6,9590,Byron Buxton,,B,"['CF', 'Util']",CF
7,10480,Kyle Tucker,,B,"['RF', 'Util']",RF
8,8875,Bryce Harper,DTD,B,"['RF', 'Util']",BN
9,9876,Brandon Nimmo,,B,"['CF', 'Util']",BN
10,8949,DJ LeMahieu,,B,"['1B', '2B', '3B', 'Util']",BN
11,10298,Whit Merrifield,,B,"['2B', 'CF', 'RF', 'Util']",BN
12,8957,Charlie Blackmon,,B,"['RF', 'Util']",BN
13,9106,Anthony Rendon,,B,"['3B', 'Util']",BN
14,9771,Chris Taylor,,B,"['2B', 'LF', 'CF', 'RF', 'Util']",BN
15,9585,Julio Urías,,P,['SP'],SP
16,9882,Aaron Nola,,P,['SP'],SP
17,9124,Zack Wheeler,,P,['SP'],SP
18,11235,Logan Webb,,P,['SP'],SP
19,11478,Patrick Sandoval,,P,['SP'],SP
20,10998,Scott Barlow,,P,['RP'],RP
21,10794,A.J. Minter,,P,['RP'],RP
22,11112,Brusdar Graterol,,P,['RP'],RP
0,10899,Keibert Ruiz,,B,"['C', 'Util']",C
1,11090,Nathaniel Lowe,,B,"['1B', 'Util']",1B
2,11292,Jonathan India,,B,"['2B', 'Util']",2B
3,11731,Gunnar Henderson,,B,"['3B', 'SS', 'Util']",3B
4,10056,Trea Turner,,B,"['SS', 'Util']",SS
5,9861,Kyle Schwarber,,B,"['LF', 'Util']",LF
6,10765,Luis Robert Jr.,,B,"['CF', 'Util']",CF
7,8634,Giancarlo Stanton,,B,"['RF', 'Util']",RF
8,11382,Jarred Kelenic,,B,"['CF', 'RF', 'Util']",Util
9,8859,Wil Myers,,B,"['1B', 'LF', 'RF', 'Util']",BN
10,11210,Luis Rengifo,,B,"['2B', '3B', 'SS', 'Util']",BN
11,12152,Garrett Mitchell,,B,"['CF', 'Util']",BN
12,10910,Corbin Burnes,,P,['SP'],SP
13,10148,Blake Snell,,P,['SP'],SP
14,11014,Freddy Peralta,,P,['SP'],SP
15,10898,Dustin May,,P,['SP'],SP
16,11057,Pablo López,,P,['SP'],SP
17,11625,Emmanuel Clase,,P,['RP'],RP
18,9358,Ryan Pressly,,P,['RP'],RP
19,8616,Aroldis Chapman,,P,['RP'],RP
20,9821,Kendall Graveman,,P,['RP'],RP
21,10903,Edward Cabrera,,P,['SP'],BN
22,9586,Andrew Heaney,,P,['SP'],BN
0,11853,Alejandro Kirk,,B,"['C', 'Util']",C
